animals	SK1	SK2	SK3	SK4	SK5	SK6	SK7	SK8	SK9	SK10	SK11	SK12	SK13	SK14	SK15	SK16	SK17	SK18	SK19	SK20	SK21	SK22	SK23	SK24
squirrel										1			1			1				1				1
red fox					1							1				1				1				
swan					1					1				1				1						1
red fox					1							1				1				1				
ermine																								
squirrel	1																							
bat								1						1										
red fox	1		1							1						1						1		
squirrel			1		1							1												
red fox					1																			1
squirrel	1			1						1					1			1						1
squirrel	1		1	1						1			1					1				1		
squirrel																								
squirrel	1		1																			1		
red fox	1				1														1					
red fox	1																			1				
hare					1																			1
roe deer	1										1			1				1			1			
squirrel					1					1			1				1					1		
red fox					1							1								1				
marten	1										1		1					1						
squirrel	1		1						1				1				1					1		
hedgehog					1											1								
swan								1														1		
hedgehog	1																							
bat	1															1								
beaver																								
red fox	1				1			1				1				1								
marten	1										1				1				1					
wild boar	1																							1
squirrel					1							1				1				1				1
roe deer					1										1									
wild boar	1						1					1				1				1				1
roe deer	1		1							1								1				1		
hedgehog																								
otter								1							1				1					
duck	1		1	1									1				1				1			
squirrel					1			1		1								1						
red fox	1				1											1								
red fox	1							1			1				1				1					1
squirrel																								
squirrel	1										1					1				1				1
red fox					1														1					
roe deer					1																			
bat								1																
roe deer					1							1												
red fox					1						1				1					1				1
squirrel	1				1			1	1				1				1							
squirrel								1																
red fox					1	1																		
hedgehog	1																	1						
bat	1							1		1														
kestral																								
squirrel	1						1																	1
bat																								
hedgehog	1											1				1				1				1
wild boar	1							1																
squirrel	1				1				1				1					1				1		
squirrel	1		1							1				1				1						
duck	1		1		1			1	1				1				1							
roe deer	1		1																	1				1
roe deer					1																			
roe deer					1			1										1				1		
hedgehog	1											1				1								
wild boar					1																			1
swan																								
squirrel	1		1						1						1		1						1	
red fox	1																			1				
red fox	1															1								
squirrel	1								1				1				1							
wild boar	1																							
red fox	1				1																		1	
wild boar	1							1																1
red fox				1					1							1		1						
swan	1				1			1											1				1	
squirrel	1							1										1				1		
wild boar	1																			1				
squirrel	1			1								1				1				1				
squirrel					1							1				1				1				
squirrel																								
roe deer								1				1												
hare					1			1				1												
red fox		1										1												
marten					1																			
squirrel	1		1	1						1				1				1			1			
red fox					1														1					
red fox	1				1											1								
swan	1			1							1				1				1				1	
